fence_id,center_lon,center_lat,imei_count,fence_name,rep_rank,alpha,beta,resident_population_2km
common_street_049fa16aabf77b4e41ee37d62ef751ba23516acc43c3b8d72468bc8c5b5f79fe,114.4297881,30.5888657,3811,武汉市洪山区落雁路先锋村,18,0.186840908,0.426438494,127
common_street_da998c82822f4139bd08a7cdf2f95eac02dc27f8eec49e80290c0e93d81560c3,114.5274356,30.52189399,3496,花福路6号花城家园综合楼,19,0.216114161,0.392615943,92
external_location_51410947,114.2497258,30.4658132,6937,武汉季佳·里,20,0.086153605,0.204645687,230
common_street_faf524fb894943ca0566b17b7d7d8b453316cb46fb1294cf2518bd8d02d761ae,114.3205394,30.45419149,5601,武汉市洪山区文化大道555号,21,0.022693111,0.084587436,239
external_location_2553785,114.3798934,30.50633712,18588,武汉五环天地,22,0.063278164,0.215695596,961
external_location_24085714,114.2755095,30.48317639,29188,武汉洪山万科广场,23,0.190272386,0.25129763,604
external_location_2553795,114.4103747,30.49094439,29658,武汉保利广场,24,0.055594529,0.153997737,1443
common_street_49597366c6d136a96859776ccb55a05bf1d939d99514164c6b928f63a555da97,114.6117453,30.51503306,4660,武汉市洪山区左岭大道10号,25,0.175891366,0.179330317,95
common_street_471ccc6e867e7f7c384cd6f9388c88026ea35072d3d75d81449162b1225fbf89,114.4137258,30.53098525,3730,武汉市洪山区鲁磨路茅屋岭,26,0.05208433,0.388016603,224
external_location_24085694,114.2964405,30.50384243,5089,武汉白沙洲烽火季佳荟,27,0.0787189,0.313046901,372
B0FFF53YN1,114.3328027,30.48063825,19261,广宏汇商业街,28,0.109687821,0.194761719,466
common_street_21564d6eb0c8ca5dcb905f78a4dad840b52a93a19a26f2bc045b7d1066b01069,114.4837088,30.46805896,5407,武汉市洪山区云风路与风林街交叉口南,29,0.257197212,0.629878056,207
common_street_a9343febe4c4ecdcc97232d820bd046ed0b891bea497685d6327d20ccd2ae659,114.4160143,30.61964737,1385,武汉市洪山区友谊大道1387号,30,0.096107108,0.310679401,169
B0FFGHCMOI,114.3140047,30.48864655,11059,金地拉德芳丝商业街,31,0.059502136,0.200190085,732
common_street_089c87e3d8b1270e4acecf3245b6aa0bbd97e1f74b114a3043759743ad06e44c,114.2688706,30.45364555,6258,武汉市洪山区中医药大学,32,0.05645719,0.14126625,323
external_location_27187896,114.5190753,30.49186814,8319,武汉中建光谷之星,33,0.133121868,0.22905792,180
common_street_9faf0e12679ba4dd26a8054ad94237ee81a5055b0d6eb10e846639c1ccaf03c4,114.3747412,30.58332205,3949,武汉市洪山区华电小路联盟路口,34,0.068205471,0.392153991,475
external_location_2553809,114.3902121,30.49759025,18449,武汉雄楚季佳荟,35,0.079187748,0.301620438,1192
common_street_a4e59f575aa782e72b898450cfa8ebd58133d035a74401dd58191ef02e5fdb2a,114.5161378,30.54494799,2368,武汉市洪山区希琥路花城大道,36,0.320808859,0.402655745,144
common_street_708031afc95096b9e0f95579e79e2245144336e57518e32c8345c77cba6bd91b,114.4836089,30.50207702,4929,武汉市洪山区百合路8号,37,0.062115757,0.272974954,193
B001B0JG9I,114.4195349,30.50630799,9136,中百仓储(关山光谷购物广场),38,0.12546794,0.435163383,865
external_location_147354,114.4052047,30.50627304,57259,武汉世界城广场,39,0.125721519,0.10919074,1202
B0FFI89KVW,114.4023183,30.48083998,22353,居然之家光谷店,40,0.055410523,0.117171387,1135
common_street_b5c273fb17b0cf8d6bd952528adaf68088abc9be3b59407ebbe7401759dd7170,114.369041,30.60346007,7812,武汉市洪山区北洋桥西路罗家港路,41,0.07888043,0.188738192,611
B0FFL1HKTR,114.4111354,30.50031965,16875,法国风情街,42,0.029508225,0.076290663,1257
external_location_157084,114.3960013,30.50622811,24365,武汉中商·世界里,43,0.116043769,0.29114422,1159
external_location_6181832,114.3970942,30.48913888,12175,武汉同学广场,44,0.025232505,0.052934549,1279
B0G3HH5BBZ,114.309222,30.46889534,3507,板桥风情商业街,45,0.058984361,0.51246868,573
common_street_0744480c6b4bbe2bfdb0a029802377e786bfd6508982b27b34a97523e547a99e,114.4005041,30.61318216,4755,武汉市洪山区智和路与和平港路交叉口南,46,0.084591678,0.341504332,376
B001B1D77X,114.4071998,30.50216767,27095,意大利风情街,47,0.089304143,0.180507699,1304
common_street_aa13e5dd10d1634a79f58916b7f9674c5e70e481592995a97998ee4fb081fb2f,114.4032636,30.49244646,18120,武汉市洪山区新竹路5号,48,0.053005707,0.157997332,1505
external_location_51410973,114.3703947,30.51137469,10243,武汉凯乐生活广场,49,0.023723601,0.080399982,880
B0HATAZALP,114.4047122,30.50328506,32899,西班牙风情街,50,0.065656176,0.090618501,1311
external_location_10936626,114.3512429,30.5130129,23914,武汉泛悦·城市奥特莱斯,51,0.089084107,0.2415738,1037
common_street_cbe949dea4de81c5d246e87ebb75efab8c794b8d9f1573cf8e4443d64ef89435,114.5093837,30.48790536,10239,武汉市洪山区高新大道780号,52,0.17266433,0.24461137,230
external_location_27646348,114.415722,30.48036173,18420,武汉北辰光谷里,53,0.064556419,0.180378029,1040
external_location_2553778,114.4128761,30.49337152,25025,武汉K11Select,54,0.06550583,0.138137308,1369
external_location_56558407,114.5814173,30.49775343,254,高科未来商业广场,55,0.07888043,0.230982192,39
common_street_90d0cb67f591c117a35ca22ab97c0df13b7bf77690ca2826daa2719f815479de,114.2979173,30.4536933,2160,武汉市洪山区黄家湖大道东原湖光里,56,0.064086801,0.266209319,171
external_location_2553792,114.3359267,30.51650828,4064,武汉乐都汇,57,0.04313183,0.282235165,784
common_street_5d8d0d4cf302cfa9d82148eca74accf18438c712d10e33f79c0419a7f4802bc6,114.3962104,30.52230762,1684,武汉市洪山区鲁磨路388号,58,0.197939069,1.561467909,502
common_street_93cd6f18a228bbe7c1b0fe1fc80bb978720eaf67efa7db141209956562a0f136,114.342951,30.5269537,5520,武汉市洪山区石牌岭路亚贸,59,0.0484568,0.251981539,580
common_street_0d4aa5968f27454e5d14a7a600c82958d6a687fa823566e49bc01b1b4a847539,114.3247879,30.46919609,2896,武汉市洪山区野芷湖西路保利心语公交场,60,0.230453858,1.778971048,392
common_street_28054cc08ba62e58fa624726bc936c8316e13408d8d0f8bdefb21395f56bf768,114.3130436,30.43944765,1260,武汉市洪山区南李路83号,61,0.176470588,0.939547594,143
common_street_79bf550e95c4d84f3be25f13f515ae52f727c85baf640e1826172c202290f8b2,114.2627433,30.47930835,4322,武汉市洪山区白沙五路与长征二路交叉口西北,62,0.059185071,0.216737887,427
common_street_4479a58a7b3caebe288aea4aa35d490d70fadcf37333ca8aba133776ca88182f,114.3611524,30.5927372,3156,武汉市洪山区铁机路保利城,63,0.031141835,0.147305882,669
common_street_0820342c3e14d14e0145727b7317d7bbcf512541e4ad22054a93be8324db95df,114.2941509,30.49421267,6296,武汉市洪山区烽胜路与张家湾路交叉口东北,64,0.044468575,0.197961547,664
B0FFIEOB0A,114.3828411,30.61712237,2307,中百仓储(大洲购物广场),65,0.069894536,0.293760818,415
B0FFFDCKXA,114.305319,30.48022228,3960,西区生活广场,66,0.122024534,0.364179678,693
external_location_27646463,114.3639869,30.57702543,4023,武汉金禾中心,67,0.039065547,0.187039472,372
common_street_b792d781b9bb15d712a023d9c90bfc104bfdd34ab3cdb6befc100f2c8f32d411,114.3104701,30.49955116,3831,武汉市洪山区新千家街129号,68,0.078047648,0.935171227,674
common_street_cb041f0974b10ab4977927d25942813599e2e6449d0f2047f2e121cfc8ce29aa,114.4151179,30.51649861,4178,武汉市洪山区珞瑜路1037号,69,0.108558028,0.572535966,701
common_street_2dcc2ec01a50181011a9138edbc3b8162c7b806f23c7152467f8aa676fd878e3,114.3068056,30.51066461,3717,武汉市洪山区新溢洲路与涂家沟路交叉口东南,70,0.104294408,0.808420164,357
common_street_f4548160ed4c90e4eb5dce1206a76b9f3a4957da1b2dfc0aaadc1a344ae255bb,114.3628704,30.47266933,3606,武汉市洪山区南湖大道66号,71,0.858889273,1.567273361,147
common_street_c7ab77338da166993d3b9b95ec89f81b033b0c65e1c35cf15607865f1e277a26,114.3854005,30.59204898,3010,武汉市洪山区欢乐大道危家湾,72,0.019428734,0.132913212,500
common_street_234973bd2c88453f996a49a7b62624b3965e05925f4fa620a9bdeb24267d555a,114.3493879,30.45675178,484,武汉市洪山区学苑路与博学路交叉口北,73,0.076923077,0.50230745,99
B001B18PUB,114.3367276,30.50184265,5272,中百·邻里汇(南湖店),74,0.083984084,0.626763706,803
common_street_1741123276d3cbcb954bdd4fde49d71d54d357c4b27fdea28a2dab3d266c070a,114.431728,30.51079376,2833,武汉市洪山区珞喻路1037号,75,0.204476767,1.087508707,563
common_street_7bd28e200b5be457e45c7b8a1d8694d911863ab7dd8c984dcc74318348396606,114.4369997,30.49753456,8054,武汉市洪山区文华路与青兰街交叉口东南,76,0.043717393,0.229604038,546
common_street_71177723b682bdf8b68687ef10ecba3008e7a615a25b13cc13ec365c59e2db42,114.514197,30.52262637,2684,武汉市洪山区花福街橘园,77,0.142733271,0.425442592,109
B001B1DGP8,114.3178896,30.5008035,9778,南湖名都商业步行街,78,0.045137303,0.184566229,628
B0FFK4WSOG,114.614889,30.49398529,9394,甲铺岭商业街(左岭街白浒社区店),79,0.35873559,0.234774926,212
B0FFHHNDLE,114.3687199,30.51717868,10497,忠义街,80,0.035425295,0.115665133,916
common_street_28b2b46723d88527eb7443b61fe04634be8a8387db1612f0cc246ab176614439,114.3554552,30.58792881,8056,武汉市洪山区团结大道1015号,81,0.065913709,0.204674374,530
external_location_5058054,114.3534653,30.52472833,22417,武汉未来城-购物公园,82,0.107486687,0.232908473,806
common_street_20b274b8b6e666f360f250d846551c629a75bf51621b6d921733ba908969864c,114.5029528,30.55274037,2158,武汉市洪山区花城大道与山湖南路交叉口西,83,0.129833047,0.299830018,135
B0H2XCG58G,114.4092439,30.48455676,8492,红枫维龙广场,84,0.035563461,0.199573915,1323
common_street_3ba9f57a1a8ba43460307e4459b786268348df553ea9950bccd2791caa7dcd6b,114.2696393,30.44210078,2476,武汉市洪山区黄家湖西路2号,85,0.189064506,0.869438145,324
common_street_f3380b82df7cb3d49671181557b9e70c3be2e59bbe517996f4cc44cf40f417c2,114.330027,30.4902756,3075,武汉市洪山区书城路170号,86,0.01568861,0.082422542,661
B001B17DJI,114.2606912,30.43997453,6040,园艺文化街,87,0.074555412,0.219955057,322
external_location_5058053,114.3247825,30.49673206,6431,武汉南湖中央广场,88,0.03400262,0.288140836,696
common_street_25107781cecc6dba4703c0208820ee8ea97cdfc2f4a3260b01bd76cc71690d5d,114.5176976,30.47810565,1584,武汉市洪山区高新二路333号,89,0.059147249,0.308541959,180
common_street_41424f183a9be0d25bda31c7addf4df2c5d49170f488d29147da492c45a79d4c,114.2908588,30.46740574,3568,武汉市洪山区烽胜路66号,90,0.217983185,1.030062705,497
common_street_5e038e3ddf7353d8ac1d2ca41ec2099245795b9631b146d6ce80cd45faf76c33,114.4205994,30.49695191,5698,武汉市洪山区高新大道229号,91,0.024099688,0.1743069,1091
common_street_1b0ac2d4a40d71419812d5ab10da7d1758a527be8204000dbadda5271b4c8f67,114.2927355,30.48324171,7258,武汉市洪山区烽胜路32号,92,0.12728383,0.393488626,791
common_street_ed03757d65761f851419eec99e65ef46f769cc7929243aed7ee06c2b2fa2a4b2,114.4140567,30.50568306,11754,武汉市洪山区关山大道21号,93,0.032100978,0.107682144,1032
B0FFJA6PAP,114.411187,30.48044407,15907,关山漾,94,0.030516198,0.083158185,1103
common_street_8143a1030497a1d9c75bf5ee50d270b9cd8043081e7e36d4a21f18589e38b4de,114.4022072,30.47297172,4459,武汉市洪山区软件园中路10号,95,0.033988322,0.198158423,798
external_location_2480604,114.3541073,30.52720795,21501,武汉季佳PAI,96,0.05860016,0.115887402,723
common_street_4dbb4529d2da85e2902caeef41e086b60e9951ed50fb4c49c0bcc1c7065af28e,114.4068524,30.51435981,4740,武汉市洪山区珞瑜路1037号,97,0.231203649,1.262053718,798
external_location_5058062,114.3961409,30.48332025,7356,武汉华罗利广场,98,0.024576288,0.183407234,1103
B0HG47SLEM,114.2883623,30.47886182,13461,龙湖武汉白沙天街B馆,99,0.075576411,0.247482525,720
common_street_b7b2c5ca9d0046605c4478ae017bbe38aa90eed620968e116b682511caafd0f3,114.2619866,30.47068382,3247,武汉市洪山区新力城临,100,0.048265072,0.244961768,488
